"number","address","city","type"
1050,"2233 SHORELINE DR","ALAMEDA","COURT"
1015,"1320 HARBOR BAY PKWY, SUITE 145","ALAMEDA","OFF BLDG"
1065,"2325 CLEMENT AVENUE, STE B","ALAMEDA","CLINIC"
1030,"1131 HARBOR BAY","ALAMEDA","OFF BLDG"
2010,"1325 PORTLAND AVE","ALBANY","VET. HALL"
"10045","20980 REDWOOD ROAD, STE. 250","CASTRO VALLEY","OFF BLDG"
"10030","20055 REDWOOD RD","CASTRO VALLEY","LIBRARY"
"10035","3600 NORBRIDGE AVE.","CASTRO VALLEY","LIBRARY"
"11155","5151 GLEASON DR","DUBLIN","COURT/OFFICE"
"11145","7600 DUBLIN BLVD, STE 160","DUBLIN","OFF BLDG"
"11020","6289 MADIGAN ROAD","DUBLIN","TRAINING"
"11030","4595 GLEASON AVE.","DUBLIN","ANIMAL SHELTER"
"11040","4985 BRODER BLVD","DUBLIN","OPS CTR"
"11050","4999 GLEASON BLVD","DUBLIN","OFF BLDG"
"11060","5325 BRODER BLVD","DUBLIN","DETENTION"
"11061","5325 BRODER BLVD","DUBLIN","LAND"
"11062","5325 BRODER BLVD","DUBLIN","SHOP"
"11063","5325 BRODER BLVD","DUBLIN","SHOP"
"11064","5325 BRODER BLVD","DUBLIN","DETENTION"
"11065","5325 BRODER BLVD","DUBLIN","DETENTION"
"11066","5325 BRODER BLVD","DUBLIN","DETENTION"
"11067","5325 BRODER BLVD","DUBLIN","DETENTION"
"11068","5325 BRODER BLVD","DUBLIN","DETENTION"
"11069","5325 BRODER BLVD","DUBLIN","DETENTION"
"11070","5325 BRODER BLVD","DUBLIN","DETENTION"
"11071","5325 BRODER BLVD","DUBLIN","DETENTION"
"11072","5325 BRODER BLVD","DUBLIN","DETENTION"
"11073","5325 BRODER BLVD","DUBLIN","DETENTION"
"11074","5325 BRODER BLVD","DUBLIN","DETENTION"
"11075","5325 BRODER BLVD","DUBLIN","DETENTION"
"11076","5325 BRODER BLVD","DUBLIN","DETENTION"
"11077","5325 BRODER BLVD","DUBLIN","DETENTION"
"11078","5325 BRODER BLVD","DUBLIN","DETENTION"
"11079","5325 BRODER BLVD","DUBLIN","DETENTION"
"11080","5325 BRODER BLVD","DUBLIN","DETENTION"
"11081","5325 BRODER BLVD","DUBLIN","DETENTION"
"11083","5325 BRODER BLVD.","DUBLIN","TRAINING"
"11084","5325 BRODER BLVD.","DUBLIN","TRAINING"
"11085","5301 MADIGAN RD","DUBLIN","TRAINING"
"11086","5325 BRODER BLVD.","DUBLIN","TRAINING"
"11087","5325 BRODER BLVD.","DUBLIN","TRAINING"
"11100","6089 MADIGAN ROAD","DUBLIN","SHOP"
